============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-05-04 04:34:52
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-05-04 04:34:52] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-05-04T09:10:04.549475Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:06.144431Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:07.741750Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:09.334336Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:10.931682Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:12.524278Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:14.121609Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:15.714329Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:17.309303Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:18.904263Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:20.501472Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:22.094079Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:23.689593Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:25.284718Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:26.882045Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:28.476974Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:30.071819Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:31.664453Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:33.259594Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:34.856859Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:36.449882Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:38.044846Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:39.642227Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:41.234819Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:42.832236Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:44.424859Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:46.020109Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:47.617304Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:49.212212Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:50.804842Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:52.402472Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:53.995368Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:55.592809Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:57.185404Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:10:58.780417Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:00.377874Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:01.970543Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:03.565535Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:05.162722Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:06.755228Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:08.350329Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:09.945304Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:11.540287Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:13.137890Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:14.730704Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:16.327901Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:17.920607Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:19.516122Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:21.111531Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:22.706489Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:24.304154Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:25.896802Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:27.494513Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:27.687020Z [INFO] Connection closed by the server
2026-05-04T09:11:27.687219Z [INFO] Connecting to pool
2026-05-04T09:11:27.687333Z [INFO] Pool status changed
2026-05-04T09:11:27.687443Z [INFO] Pool status changed
2026-05-04T09:11:27.687422Z [INFO] Opening TCP connection
2026-05-04T09:11:27.741638Z [INFO] Connection successful
2026-05-04T09:11:27.741957Z [INFO] Pool status changed
2026-05-04T09:11:28.061683Z [INFO] Authorization successful
2026-05-04T09:11:28.062221Z [INFO] New pool difficulty
2026-05-04T09:11:29.089689Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:30.682336Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:32.279571Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:33.872634Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:35.469946Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:37.065180Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:38.660173Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:40.252804Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:41.849960Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:43.442557Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:45.037547Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:46.634856Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:48.227575Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:49.824861Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:51.419734Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:53.012522Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:54.610372Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:56.205461Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:57.800350Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:11:59.395805Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:00.988669Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:02.583662Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:04.181026Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:05.773949Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:07.371661Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:08.966585Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:10.559228Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:12.154335Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:13.749423Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:15.344502Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:16.939595Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:18.534591Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:20.131802Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:21.724450Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:23.319420Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:24.914568Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:26.512057Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:28.106922Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:29.699591Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:31.294537Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:32.889600Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:34.487084Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:36.079724Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:37.674677Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:39.269672Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:40.867231Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:42.459971Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:44.057207Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:45.652060Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:47.244672Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:48.839692Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:50.434707Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:52.029769Z [WARN] Temperature Sensor Read Failed
2026-05-04T09:12:53.624752Z [WARN] Temperature Sensor Read Failed
