IP,状态,矿机类型,工作模式,实时算力,平均算力,温度,风扇转速,启动时间,矿池1,矿机名1,矿池2,矿机名2,矿池3,矿机名3,固件版本,软件版本,硬件版本,网络类型,MAC地址
10.102.0.192,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,39.00° / 40.50° / 38.00°,2793 / 2763 / 2793 / 2763,1天 19小时 27分 40秒 ,sha256.poolbinance.com:443,NCATX.008,btc.poolbinance.com:1800,NCATX.008,bs.poolbinance.com:3333,NCATX.008,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:ec:de:9b:63:e5
10.102.1.62,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1019 / 1019 / 1019 / 989,1天 19小时 27分 23秒 ,sha256.poolbinance.com:443,NCATX.009,btc.poolbinance.com:1800,NCATX.009,bs.poolbinance.com:3333,NCATX.009,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:56:ae:f5:b7:cd
10.102.1.63,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1409 / 1019,1天 19小时 27分 34秒 ,sha256.poolbinance.com:443,NCATX.010,btc.poolbinance.com:1800,NCATX.010,bs.poolbinance.com:3333,NCATX.010,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:7c:f6:a0:39:70
10.102.1.64,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,39.50° / 46.50° / 39.00°,5754 / 5724 / 5694 / 5784,1天 19小时 27分 23秒 ,sha256.poolbinance.com:443,NCATX.011,btc.poolbinance.com:1800,NCATX.011,bs.poolbinance.com:3333,NCATX.011,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:de:1c:aa:69:db
10.102.0.162,成功,Antminer S19 XP,,35469.55 GH/s,44020.97 GH/s,53,4920 / 4920 / 4920 / 4980,1天 19小时 26分 58秒 ,sha256.poolbinance.com:443,NCATX.012,btc.poolbinance.com:1800,NCATX.012,bs.poolbinance.com:3333,NCATX.012,20251212,,2025.12.12.164659,,
10.102.1.61,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1049 / 1049 / 1049 / 1019,1天 19小时 27分 31秒 ,sha256.poolbinance.com:443,NCATX.013,btc.poolbinance.com:1800,NCATX.013,bs.poolbinance.com:3333,NCATX.013,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:e6:70:fc:4a:6c
10.102.1.65,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1138 / 1018 / 1048,1天 19小时 27分 32秒 ,sha256.poolbinance.com:443,NCATX.014,btc.poolbinance.com:1800,NCATX.014,bs.poolbinance.com:3333,NCATX.014,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:68:13:5a:ed:f1
10.102.0.174,成功,Antminer S19 XP (BOS),低功耗模式,37.42 TH/s,35.98 TH/s,74.00° / 41.50° / 40.50°,4434 / 4464 / 413284 / 158008,1天 19小时 27分 28秒 ,sha256.poolbinance.com:443,NCATX.015,btc.poolbinance.com:1800,NCATX.015,bs.poolbinance.com:3333,NCATX.015,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:de:2e:fb:07:79
10.102.0.176,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1079 / 1049 / 989 / 1019,1天 19小时 27分 49秒 ,sha256.poolbinance.com:443,NCATX.016,btc.poolbinance.com:1800,NCATX.016,bs.poolbinance.com:3333,NCATX.016,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:5e:7a:ba:00:5f
10.102.0.182,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1049 / 1019 / 1019 / 989,1天 19小时 27分 47秒 ,sha256.poolbinance.com:443,NCATX.017,btc.poolbinance.com:1800,NCATX.017,bs.poolbinance.com:3333,NCATX.017,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:d6:26:f6:e6:fb
