============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-04-26 01:36:14
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-04-26 01:36:14] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-26T06:10:12.013351Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:13.606243Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:15.205986Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:16.803549Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:18.403630Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:20.001010Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:21.593709Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:23.193320Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:24.790836Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:26.388457Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:27.988564Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:29.581728Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:31.184041Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:32.776921Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:34.378908Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:35.971841Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:37.569448Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:39.171790Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:40.769268Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:42.364392Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:43.964440Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:45.559662Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:47.154978Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:48.752647Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:50.354665Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:51.951967Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:53.231066Z [INFO] Shares counter
2026-04-26T06:10:53.549972Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:55.147570Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:56.742770Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:58.340285Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:10:59.935585Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:01.533269Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:03.130842Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:04.730660Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:06.331469Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:07.928911Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:09.523996Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:11.124019Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:12.235996Z [INFO] Checking available disk space
2026-04-26T06:11:12.716739Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:14.316593Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:15.916555Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:17.509252Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:19.106936Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:20.704580Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:22.304549Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:23.902207Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:25.501965Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:27.097489Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:28.695046Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:30.290535Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:31.892829Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:33.487960Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:35.085349Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:36.680470Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:38.277878Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:39.875468Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:41.475608Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:43.075611Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:44.672931Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:46.265763Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:47.867883Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:49.460689Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:51.058303Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:52.655825Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:54.258324Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:55.853434Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:57.453406Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:11:59.046284Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:00.648546Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:02.241335Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:03.841125Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:05.438627Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:07.036245Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:08.636079Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:10.231192Z [WARN] Temperature Sensor Read Failed
2026-04-26T06:12:11.826308Z [WARN] Temperature Sensor Read Failed
